Size: 5 x 5 | Processes: 1 | Sequential Execution Time: 1.254e-06 seconds | Parallel Execution Time: 2.8794e-05 seconds

Size: 5 x 5 | Processes: 2 | Sequential Execution Time: 1.254e-06 seconds | Parallel Execution Time: 1.2545e-05 seconds

Size: 5 x 5 | Processes: 4 | Sequential Execution Time: 1.254e-06 seconds | Parallel Execution Time: 7.065e-06 seconds

Size: 5 x 5 | Processes: 8 | Sequential Execution Time: 1.254e-06 seconds | Parallel Execution Time: 6.11e-06 seconds

Size: 5 x 5 | Processes: 16 | Sequential Execution Time: 1.254e-06 seconds | Parallel Execution Time: 5.955e-06 seconds

Size: 5 x 5 | Processes: 32 | Sequential Execution Time: 1.254e-06 seconds | Parallel Execution Time: 7.967e-06 seconds

Size: 5 x 5 | Processes: 64 | Sequential Execution Time: 1.254e-06 seconds | Parallel Execution Time: 5.906e-06 seconds

Size: 5 x 5 | Processes: 128 | Sequential Execution Time: 1.254e-06 seconds | Parallel Execution Time: 5.89e-06 seconds

Size: 10 x 10 | Processes: 1 | Sequential Execution Time: 7.224e-06 seconds | Parallel Execution Time: 1.4138e-05 seconds

Size: 10 x 10 | Processes: 2 | Sequential Execution Time: 7.224e-06 seconds | Parallel Execution Time: 1.009e-05 seconds

Size: 10 x 10 | Processes: 4 | Sequential Execution Time: 7.224e-06 seconds | Parallel Execution Time: 7.762e-06 seconds

Size: 10 x 10 | Processes: 8 | Sequential Execution Time: 7.224e-06 seconds | Parallel Execution Time: 6.83e-06 seconds

Size: 10 x 10 | Processes: 16 | Sequential Execution Time: 7.224e-06 seconds | Parallel Execution Time: 6.24e-06 seconds

Size: 10 x 10 | Processes: 32 | Sequential Execution Time: 7.224e-06 seconds | Parallel Execution Time: 6.039e-06 seconds

Size: 10 x 10 | Processes: 64 | Sequential Execution Time: 7.224e-06 seconds | Parallel Execution Time: 5.923e-06 seconds

